,countryname,countrycode,incomelevelname,regionname,unit,year,id,pop,torn_real_pk,torn_real_fa,torn_real_fl,torn_real_renew,torn_real_agland,torn_real_timber,torn_real_mangroves,torn_real_forest_es1,torn_real_forest_es2,torn_real_forest_es3,torn_real_fisheries,torn_real_hydro,torn_real_nonrenew,torn_real_oil,torn_real_gas,torn_real_coal,torn_real_bauxite,torn_real_copper,torn_real_gold,torn_real_iron_ore,torn_real_lead,torn_real_nickel,torn_real_phosphate,torn_real_silver,torn_real_tin,torn_real_zinc,torn_real_cobalt,torn_real_molybdenum,torn_real_lithium,torn_real_min,torn_real_hc,torn_real_emp_female,torn_real_emp_male,ncwi,dcwi,pkx_cd,pk_cd,urban_cd,fa_cd,fl_cd,renew_cd,cropwealth_cd,animalwealth_cd,agland_cd,timber_cd,mangroves_cd,forest_es1_cd,forest_es2_cd,forest_es3_cd,fisheries_cd,hydro_cd,nonrenew_cd,oil_cd,gas_cd,coal_cd,min_cd,bauxite_cd,copper_cd,gold_cd,iron_ore_cd,lead_cd,nickel_cd,phosphate_cd,silver_cd,tin_cd,zinc_cd,cobalt_cd,molybdenum_cd,lithium_cd,hc_cd,emp_female_cd,emp_male_cd,ncw_cd,dcw_cd
1,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,1995,AGO.1995,13912253,41384125689,NA,NA,1.20952E+11,72130971270,11517317990,751911446.3,339341583.6,19270309393,20302638772,2559855406,2119078799,79284375793,76948780327,1187388446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49859E+11,54455833606,95411058510,NA,3.67406E+11,21442881865,26589173512,5146291648,NA,NA,29522680058,5058880771,7100624653,12159505424,4049797887,13457803.73,19849049.19,9780535382,1357247921,0,2142286589,28081966002,27791317652,290648349.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27217777086,10021913699,17195863387,NA,NA
2,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,1996,AGO.1996,14383350,46742949640,NA,NA,1.21238E+11,72373702631,11493957239,751064063,338669621,19232150418,20262435583,2542395377,2177942099,93504023319,90984237859,1187388446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57217E+11,57097884662,1.00128E+11,NA,3.97395E+11,25431433726,31534977820,6103544094,NA,NA,30257208613,5441458507,7134531518,12575990025,3925263789,19203138.76,27935698.86,9911084634,1601514012,0,2196217316,16407496773,16071439396,336057376.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32079576852,11778825809,20300751043,NA,NA
3,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,1997,AGO.1997,14871146,50473641495,NA,NA,1.20833E+11,72616433992,11470596489,750216679.7,337997658.4,19193991443,20222232395,2524729767,2060215499,98418538054,96032077848,1121422421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64979E+11,59908747091,1.0508E+11,NA,4.15011E+11,29575059502,36673073783,7098014281,NA,NA,30397936210,5498105557,7507136090,13005241647,3562224667,21184049.93,17643599.28,10027843977,1880862525,0,1882935744,12181130436,11823227846,357902589.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37464587170,13766421937,23698165233,NA,NA
4,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,1998,AGO.1998,15366864,56216932531,NA,NA,1.22445E+11,72859165353,11447235739,749369296.4,337325695.8,19155832467,20182029206,2504369312,2495803919,1.01629E+11,99233147110,1121422421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73073E+11,62889759431,1.10193E+11,NA,4.37989E+11,26724921176,33138902258,6413981082,NA,NA,34646948201,7013611498,9376453053,16390064551,3801444283,19646140.9,28670848.83,10362295961,1594390130,0,2450436287,20516410034,20249716170,266693864,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31374933653,11627801761,19747131892,NA,NA
5,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,1999,AGO.1999,15870753,60445044114,NA,NA,1.21155E+11,73101896713,11423874988,748521913.1,336653733.2,19117673492,20141826017,2470700867,2104951607,1.27003E+11,1.24349E+11,1068649602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81429E+11,66035963543,1.154E+11,NA,4.74031E+11,25790027101,31979633605,6189606504,NA,NA,31117810007,5922629604,7978312261,13900941865,3192577790,20434451.83,22789649.07,10591501362,1507773796,0,1881791094,38113992192,37848943371,265048821.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30337700150,11161995231,19175704919,NA,NA
6,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,2000,AGO.2000,16394062,61867221000,NA,NA,1.21261E+11,73344628074,11400514238,747674529.8,335981770.6,19079514517,20101622828,2432186958,2118596120,1.50032E+11,1.47052E+11,1068649602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90262E+11,69373414573,1.20895E+11,NA,5.10959E+11,29195154660,36201991779,7006837118,NA,NA,33518493168,6870043664,8567736411,15437780075,3201571239,32663688.43,24995098.98,10918936545,2237207156,0,1665339365,82566246437,82095821407,470425030.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45353319295,16620890687,28732428608,NA,NA
7,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,2001,AGO.2001,16941587,63019363986,NA,NA,1.22233E+11,74211526231,11317082944,746827146.5,333581903,18943232394,19958039937,2390244225,2369860002,1.63198E+11,1.60053E+11,1068649602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98921E+11,72572681239,1.26355E+11,NA,5.35862E+11,35649015942,44204779768,8555763826,NA,NA,36600387691,8862169805,9351557035,18213726840,3099601805,33726224.93,25730248.95,11115004924,2189786098,0,1922811551,65629808549,65070735805,559072743.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44237066102,16196318747,28040747355,NA,NA
8,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,2002,AGO.2002,17516139,64442492732,71515301007,4.34251E+11,1.23321E+11,75078424388,11233651650,745979763.2,331182035.4,18806950270,19814457047,2351538736,2657454313,2.2296E+11,2.1915E+11,1068649602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08094E+11,75974745181,1.32125E+11,2.26464E+11,6.01396E+11,96213966724,1.19305E+11,23091352014,2.897e+09,1.7591e+10,43806788112,11302413938,11799452299,23101866237,3701543879,55337289.26,37492648.47,10833245841,3745734257,0,2331567961,93689567870,93162774322,526793548.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78018168630,28350744129,49667424501,3.20126E+11,3.3482E+11
9,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,2003,AGO.2003,18124342,66337872438,42304783414,2.55809E+11,1.2429E+11,75945322564,11150220355,745146503,328782167.7,18670668146,19670874156,2319481490,2889352170,2.20495E+11,2.16712E+11,1068649602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17668E+11,79506896276,1.38168E+11,4.14257E+11,6.12759E+11,97492520071,1.20891E+11,23398204817,3.397e+09,2.0541e+10,48056845115,12102708404,12587869796,24690578199,5040937284,67799377.23,46314448.1,10381035565,4365003080,341517088.4,3123660072,1.03022E+11,1.0233E+11,692177372.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94254031772,34118720466,60135311306,3.49079E+11,3.66223E+11
10,Angola,AGO,Lower middle income,Sub-Saharan Africa,Real chained 2019 US$,2004,AGO.2004,18771125,68953274646,50719320786,1.95789E+11,1.27803E+11,76812220721,11066789061,744299119.7,326382300.1,18534386022,19527291265,2292704431,4083759162,2.26315E+11,2.22474E+11,1068649602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28029E+11,83289011773,1.44747E+11,5.0001E+11,6.34967E+11,1.13239E+11,1.40416E+11,27177386186,5.846e+09,2.2567e+10,53949858158,14411022938,15023736994,29434759932,3943392358,86977082.66,60282297.53,10197735051,5771431498,225573915.5,4229706023,1.05565E+11,1.04747E+11,818063636.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18665E+11,42931896338,75733385057,4.01876E+11,4.18597E+11
